UID          PID    PPID  C STIME TTY          TIME CMD
root         632       1  0 20:26 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         638       1  0 20:26 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         644       1  0 20:26 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         646       1  0 20:26 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       650       1  0 20:26 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         653       1  0 20:26 ?        00:00:01 /usr/lib/snapd/snapd
root         659       1  0 20:26 ?        00:00:00 /usr/libexec/switcheroo-control
root         662       1  0 20:26 ?        00:00:00 /lib/systemd/systemd-logind
root         663       1  0 20:26 ?        00:00:00 /usr/lib/udisks2/udisksd
root         665       1  0 20:26 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        672     624  0 20:26 ?        00:00:00 avahi-daemon: chroot helper
root         697       1  0 20:26 ?        00:00:00 /usr/sbin/cups-browsed
root         720       1  0 20:26 ?        00:00:00 /usr/sbin/ModemManager
root         725       1  0 20:26 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
whoopsie     829       1  0 20:26 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     833       1  0 20:26 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     843       1  0 20:26 ?        00:00:00 /usr/sbin/kerneloops
root         949       1  0 20:26 ?        00:00:00 /usr/sbin/gdm3
root         951       1  0 20:26 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         965     949  0 20:26 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
olatunde     975       1  0 20:26 ?        00:00:00 /lib/systemd/systemd --user
olatunde     976     975  0 20:26 ?        00:00:00 (sd-pam)
olatunde     981     975  0 20:26 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
olatunde     983     975  0 20:26 ?        00:00:00 /usr/libexec/tracker-miner-fs
olatunde     986       1  0 20:26 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
olatunde     990     965  0 20:26 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
rtkit        992       1  0 20:26 ?        00:00:00 /usr/libexec/rtkit-daemon
olatunde     993     975  0 20:26 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
olatunde     995     990  0 20:26 tty2     00:00:06 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
olatunde    1002     975  0 20:26 ?        00:00:00 /usr/libexec/gvfsd
olatunde    1017     975  0 20:26 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
olatunde    1028     975  0 20:26 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
olatunde    1047     975  0 20:26 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
olatunde    1052     975  0 20:26 ?        00:00:00 /usr/libexec/goa-daemon
